xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	total_dynamic_viscosity (J/kg)	total_gruneisen (~)	total_enthalpy (m/s)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (W/m/K)	total_thermal_conductivity (Pa*s)	Reynolds (~)	Prandtl (~)	mass_flow_rate (kg/s)
0.000000000000000000e+00	6.000000000000000000e+05	4.500000000000000000e+00	1.396074484572818051e+02	2.417181116992007106e-01	4.026507168672055494e-06	1.432076813157669326e+00	2.846132373228988399e+03	3.614772754663900287e+03	2.330216258124484739e+03	2.460577775192014087e+02	2.208956746993476911e-02	2.739309205252356605e+03	6.589041831436823760e-01	1.247407908640084731e-02
5.000000000000000278e-02	5.999500733845271170e+05	4.500064731895830228e+00	1.396053810357632301e+02	2.417233983078144466e-01	4.026424991693517356e-06	1.432066582978085201e+00	2.845916604275384998e+03	3.614862754694992873e+03	2.330227310724708786e+03	2.460522430540117682e+02	2.208931643416535071e-02	2.739365112950682942e+03	6.589146287267605429e-01	1.247416717613403225e-02
1.000000000000000056e-01	5.999001449446642073e+05	4.500124957312701568e+00	1.396033674048194655e+02	2.417276310682514029e-01	4.026342814714980065e-06	1.432056352798501075e+00	2.845700835321782051e+03	3.614952754726085914e+03	2.330238363324932379e+03	2.460467085888220993e+02	2.208906539839593577e-02	2.739421022931141579e+03	6.589250738776145644e-01	1.247420568105739834e-02
1.500000000000000222e-01	5.998502160707744770e+05	4.500185839078357120e+00	1.396013456311143841e+02	2.417315386725162607e-01	4.026260637736441927e-06	1.432046122618916950e+00	2.845485066368179105e+03	3.615042754757178500e+03	2.330249415925155517e+03	2.460411741236324303e+02	2.208881436262651390e-02	2.739476935193875306e+03	6.589355185962293415e-01	1.247422667283226531e-02
2.000000000000000111e-01	5.998002857757172314e+05	4.500246594318132232e+00	1.395993250877349112e+02	2.417351987192860874e-01	4.026178460757903790e-06	1.432035892439333047e+00	2.845269297414576158e+03	3.615132754788271086e+03	2.330260468525379565e+03	2.460356396584427898e+02	2.208856332685709550e-02	2.739532849739021003e+03	6.589459628825903303e-01	1.247423499402296708e-02
2.500000000000000000e-01	5.997503552668334451e+05	4.500307388128150343e+00	1.395973038234513979e+02	2.417387983698991716e-01	4.026096283779365652e-06	1.432025662259748700e+00	2.845053528460973212e+03	3.615222754819364127e+03	2.330271521125602703e+03	2.460301051932530925e+02	2.208831229108767710e-02	2.739588766566719642e+03	6.589564067366828759e-01	1.247424012875609708e-02
3.000000000000000444e-01	5.997004234321588883e+05	4.500368155854740593e+00	1.395952825860559301e+02	2.417423012433870255e-01	4.026014106800828361e-06	1.432015432080164796e+00	2.844837759507369810e+03	3.615312754850456713e+03	2.330282573725826296e+03	2.460245707280634235e+02	2.208806125531826217e-02	2.739644685677109464e+03	6.589668501584921012e-01	1.247424026667813025e-02
3.500000000000000333e-01	5.996504914519147715e+05	4.500428949536989798e+00	1.395932607808867658e+02	2.417458294525174356e-01	4.025931929822290223e-06	1.432005201900580449e+00	2.844621990553766864e+03	3.615402754881549754e+03	2.330293626326049889e+03	2.460190362628737830e+02	2.208781021954884030e-02	2.739700607070333263e+03	6.589772931480034623e-01	1.247424165596439788e-02
4.000000000000000222e-01	5.996005581562024308e+05	4.500489710936541599e+00	1.395912390774748815e+02	2.417492885704882744e-01	4.025849752843752085e-06	1.431994971720996546e+00	2.844406221600163917e+03	3.615492754912642340e+03	2.330304678926273482e+03	2.460135017976841141e+02	2.208755918377942190e-02	2.739756530746527915e+03	6.589877357052018603e-01	1.247423948397324497e-02
4.500000000000000111e-01	5.995506247432286618e+05	4.500550516161183623e+00	1.395892376258878755e+02	2.417528060513634836e-01	4.025767145267030732e-06	1.431984858059733856e+00	2.844181509522125452e+03	3.615579971461652349e+03	2.330316395138241205e+03	2.460079950455267124e+02	2.208731739249377921e-02	2.739812749757624260e+03	6.589973241903250845e-01	1.247424212807099475e-02
5.000000000000000000e-01	5.995006899934514659e+05	4.500611287185850351e+00	1.395872366205882145e+02	2.417562497462774906e-01	4.025684537690309379e-06	1.431974744398471167e+00	2.843956797444086533e+03	3.615667188010661448e+03	2.330328111350209838e+03	2.460024882933692822e+02	2.208707560120813651e-02	2.739868971075964055e+03	6.590069122329871298e-01	1.247424099960742910e-02
5.500000000000000444e-01	5.994507551478036912e+05	4.500672065875419570e+00	1.395852353526452987e+02	2.417597585256975046e-01	4.025601930113588874e-06	1.431964630737208477e+00	2.843732085366048523e+03	3.615754404559671457e+03	2.330339827562177561e+03	2.459969815412118805e+02	2.208683380992249382e-02	2.739925194701688270e+03	6.590164998331737856e-01	1.247424320078761514e-02
6.000000000000000888e-01	5.994008189475530526e+05	4.500732844789214759e+00	1.395832338794648706e+02	2.417632038015176399e-01	4.025519322536867521e-06	1.431954517075945787e+00	2.843507373288009603e+03	3.615841621108681011e+03	2.330351543774146194e+03	2.459914747890544504e+02	2.208659201863685112e-02	2.739981420634939241e+03	6.590260869908701746e-01	1.247424210184322133e-02
6.500000000000000222e-01	5.993508826711433940e+05	4.500793594014735000e+00	1.395812325932925262e+02	2.417667134700196563e-01	4.025436714960146168e-06	1.431944403414683098e+00	2.843282661209971138e+03	3.615928837657690565e+03	2.330363259986113917e+03	2.459859680368970203e+02	2.208635022735120496e-02	2.740037648875859759e+03	6.590356737060618642e-01	1.247424433693148683e-02
7.000000000000000666e-01	5.993009450190308271e+05	4.500854375022206533e+00	1.395792307218699477e+02	2.417701617358005706e-01	4.025354107383424815e-06	1.431934289753420630e+00	2.843057949131932219e+03	3.616016054206700574e+03	2.330374976198082550e+03	2.459804612847396186e+02	2.208610843606556573e-02	2.740093879424591705e+03	6.590452599787343102e-01	1.247424334642119152e-02
7.500000000000000000e-01	5.992510073119360022e+05	4.500915174707698085e+00	1.395772284562935965e+02	2.417736684436762318e-01	4.025271499806703462e-06	1.431924176092157719e+00	2.842833237053893754e+03	3.616103270755710128e+03	2.330386692410050273e+03	2.459749545325822169e+02	2.208586664477992303e-02	2.740150112281277416e+03	6.590548458088729689e-01	1.247424533088501916e-02
8.000000000000000444e-01	5.992010682108830661e+05	4.500975932234465127e+00	1.395752264942601073e+02	2.417771150344518172e-01	4.025188892229982109e-06	1.431914062430895251e+00	2.842608524975855744e+03	3.616190487304719682e+03	2.330398408622017996e+03	2.459694477804247867e+02	2.208562485349427687e-02	2.740206347446058317e+03	6.590644311964635182e-01	1.247424423560586360e-02
8.500000000000000888e-01	5.991511290711556794e+05	4.501036705131777893e+00	1.395732241782891663e+02	2.417806232153984769e-01	4.025106284653261603e-06	1.431903948769632340e+00	2.842383812897816824e+03	3.616277703853729690e+03	2.330410124833986629e+03	2.459639410282673850e+02	2.208538306220863764e-02	2.740262584919076289e+03	6.590740161414913034e-01	1.247424628122932935e-02
9.000000000000000222e-01	5.991011885199943790e+05	4.501097493800223504e+00	1.395712214685501067e+02	2.417840710028805740e-01	4.025023677076540250e-06	1.431893835108369872e+00	2.842159100819778359e+03	3.616364920402739244e+03	2.330421841045954352e+03	2.459584342761099549e+02	2.208514127092299495e-02	2.740318824700474124e+03	6.590836006439415584e-01	1.247424517061642563e-02
9.500000000000000666e-01	5.990512479497373570e+05	4.501158235008020370e+00	1.395692191613484567e+02	2.417875789004236831e-01	4.024941069499818897e-06	1.431883721447107183e+00	2.841934388741739440e+03	3.616452136951748798e+03	2.330433557257922985e+03	2.459529275239525248e+02	2.208489947963734878e-02	2.740375066790393703e+03	6.590931847038000724e-01	1.247424719206015852e-02
1.000000000000000000e+00	5.990013059475141345e+05	4.501218992270678676e+00	1.395672164564755633e+02	2.417910301465326373e-01	4.024858461923097544e-06	1.431873607785844271e+00	2.841709676663700975e+03	3.616539353500758352e+03	2.330445273469890708e+03	2.459474207717951231e+02	2.208465768835170609e-02	2.740431311188976906e+03	6.591027683210520793e-01	1.247424625006267850e-02
1.050000000000000044e+00	5.989513639434351353e+05	4.501279738206080516e+00	1.395652137198633227e+02	2.417945386612573577e-01	4.024775854346376191e-06	1.431863494124581804e+00	2.841484964585662510e+03	3.616626570049768361e+03	2.330456989681858886e+03	2.459419140196377214e+02	2.208441589706606339e-02	2.740487557896366980e+03	6.591123514956831464e-01	1.247424825462243800e-02
1.100000000000000089e+00	5.989014204895454459e+05	4.501340504703229328e+00	1.395632105308039002e+02	2.417979869046457397e-01	4.024693246769655685e-06	1.431853380463319114e+00	2.841260252507623591e+03	3.616713786598777915e+03	2.330468705893826609e+03	2.459364072674802912e+02	2.208417410578042070e-02	2.740543806912704440e+03	6.591219342276788407e-01	1.247424710417682249e-02
1.150000000000000133e+00	5.988514770575311268e+05	4.501401215904052400e+00	1.395612078399769871e+02	2.418014941718003574e-01	4.024610639192934332e-06	1.431843266802056203e+00	2.841035540429585581e+03	3.616801003147787469e+03	2.330480422105795242e+03	2.459309005153228895e+02	2.208393231449477800e-02	2.740600058238132988e+03	6.591315165170243962e-01	1.247424903812277205e-02
1.200000000000000178e+00	5.988015321525661275e+05	4.501461967519833074e+00	1.395592044570923917e+02	2.418049477804005420e-01	4.024528031616212979e-06	1.431833153140793735e+00	2.840810828351547116e+03	3.616888219696797478e+03	2.330492138317762965e+03	2.459253937631654594e+02	2.208369052320913531e-02	2.740656311872794504e+03	6.591410983637053800e-01	1.247424813687683653e-02
1.250000000000000000e+00	5.987515872869093437e+05	4.501522707610885021e+00	1.395572010459633816e+02	2.418084549647114279e-01	4.024445424039491626e-06	1.431823039479531046e+00	2.840586116273508196e+03	3.616975436245807032e+03	2.330503854529731598e+03	2.459198870110080293e+02	2.208344873192348914e-02	2.740712567816829505e+03	6.591506797677073592e-01	1.247424999181844310e-02
1.300000000000000044e+00	5.987016409316336503e+05	4.501583441944443820e+00	1.395551974982365095e+02	2.418119059569864004e-01	4.024362816462770273e-06	1.431812925818268356e+00	2.840361404195469731e+03	3.617062652794816586e+03	2.330515570741699321e+03	2.459143802588506276e+02	2.208320694063784992e-02	2.740768826070382602e+03	6.591602607290154570e-01	1.247424893060068707e-02
1.350000000000000089e+00	5.986516946332819061e+05	4.501644168193011275e+00	1.395531938813570605e+02	2.418154187932075039e-01	4.024280208886048920e-06	1.431802812157005667e+00	2.840136692117430812e+03	3.617149869343826595e+03	2.330527286953667499e+03	2.459088735066932259e+02	2.208296514935220722e-02	2.740825086633594765e+03	6.591698412476154623e-01	1.247425104836169356e-02
1.400000000000000133e+00	5.986017468277689768e+05	4.501704897433793207e+00	1.395511900220744508e+02	2.418188687975350581e-01	4.024197601309328414e-06	1.431792698495743199e+00	2.839911980039392802e+03	3.617237085892836149e+03	2.330539003165635677e+03	2.459033667545357957e+02	2.208272335806656106e-02	2.740881349506607876e+03	6.591794213234929423e-01	1.247424989806185554e-02
1.450000000000000178e+00	5.985517990963240154e+05	4.501765578960625902e+00	1.395491865715503650e+02	2.418223815348477801e-01	4.024114993732607061e-06	1.431782584834480287e+00	2.839687267961354337e+03	3.617324302441845703e+03	2.330550719377603400e+03	2.458978600023783940e+02	2.208248156678092183e-02	2.740937614689565180e+03	6.591890009566327979e-01	1.247425201523045570e-02
1.500000000000000000e+00	5.985018498389649903e+05	4.501826305082335722e+00	1.395471823769719322e+02	2.418258375647620306e-01	4.024032386155885708e-06	1.431772471173217820e+00	2.839462555883315417e+03	3.617411518990855711e+03	2.330562435589572033e+03	2.458923532502209923e+02	2.208223977549527914e-02	2.740993882182607649e+03	6.591985801470210404e-01	1.247425113551177932e-02
1.550000000000000044e+00	5.984519006728332024e+05	4.501887022668226379e+00	1.395451781196057937e+02	2.418293459156739544e-01	4.023949778579164355e-06	1.431762357511954908e+00	2.839237843805276952e+03	3.617498735539865265e+03	2.330574151801539756e+03	2.458868464980635622e+02	2.208199798420963297e-02	2.741050151985878983e+03	6.592081588946429038e-01	1.247425294392705795e-02
1.600000000000000089e+00	5.984019499648688361e+05	4.501947738704823010e+00	1.395431736736747439e+02	2.418328076317977360e-01	4.023867171002443002e-06	1.431752243850692441e+00	2.839013131727238033e+03	3.617585952088874819e+03	2.330585868013508389e+03	2.458813397459061321e+02	2.208175619292399028e-02	2.741106424099521064e+03	6.592177371994838442e-01	1.247425232476546617e-02
1.650000000000000133e+00	5.983519993620284367e+05	4.502008468050701318e+00	1.395411689020503161e+02	2.418363119396233774e-01	4.023784563425721649e-06	1.431742130189429751e+00	2.838788419649200023e+03	3.617673168637884373e+03	2.330597584225476112e+03	2.458758329937487304e+02	2.208151440163835105e-02	2.741162698523676227e+03	6.592273150615290955e-01	1.247425386829803355e-02
1.700000000000000178e+00	5.983020472048809752e+05	4.502069147039591712e+00	1.395391645298686569e+02	2.418397717520536505e-01	4.023701955849001143e-06	1.431732016528166840e+00	2.838563707571161103e+03	3.617760385186894382e+03	2.330609300437444290e+03	2.458703262415913002e+02	2.208127261035270489e-02	2.741218975258485898e+03	6.592368924807647801e-01	1.247425314724387620e-02
1.750000000000000000e+00	5.982520951668794733e+05	4.502129846576147898e+00	1.395371597451453454e+02	2.418432779308928304e-01	4.023619348272279790e-06	1.431721902866904372e+00	2.838338995493122638e+03	3.617847601735903936e+03	2.330621016649412468e+03	2.458648194894338985e+02	2.208103081906706219e-02	2.741275254304093323e+03	6.592464694571755768e-01	1.247425477575797755e-02
1.800000000000000044e+00	5.982021415598148014e+05	4.502190531672434659e+00	1.395351549266345899e+02	2.418467369840875403e-01	4.023536740695558437e-06	1.431711789205641683e+00	2.838114283415084174e+03	3.617934818284913490e+03	2.330632732861380646e+03	2.458593127372764968e+02	2.208078902778142297e-02	2.741331535660641293e+03	6.592560459907473858e-01	1.247425396535325852e-02
1.850000000000000089e+00	5.981521880863812985e+05	4.502251200084254279e+00	1.395331501448511062e+02	2.418502457149036000e-01	4.023454133118837084e-06	1.431701675544378993e+00	2.837889571337045254e+03	3.618022034833923499e+03	2.330644449073348369e+03	2.458538059851190383e+02	2.208054723649577680e-02	2.741387819328270325e+03	6.592656220814655521e-01	1.247425571539874031e-02
1.900000000000000133e+00	5.981022330282516778e+05	4.502311877179169031e+00	1.395311450501236266e+02	2.418537104390575121e-01	4.023371525542115732e-06	1.431691561883116304e+00	2.837664859259006789e+03	3.618109251382933053e+03	2.330656165285316547e+03	2.458482992329616366e+02	2.208030544521013411e-02	2.741444105307123664e+03	6.592751977293155319e-01	1.247425516250434685e-02
1.950000000000000178e+00	5.980522781169406371e+05	4.502372538756372222e+00	1.395291399784505586e+02	2.418572140998653808e-01	4.023288917965395226e-06	1.431681448221853614e+00	2.837440147180968324e+03	3.618196467931942607e+03	2.330667881497284725e+03	2.458427924808042349e+02	2.208006365392448794e-02	2.741500393597344100e+03	6.592847729342830032e-01	1.247425661476880658e-02
2.000000000000000000e+00	5.980023216095273383e+05	4.502433220495395183e+00	1.395271344550591550e+02	2.418606804090714379e-01	4.023206310388673873e-06	1.431671334560590925e+00	2.837215435102929860e+03	3.618283684480952616e+03	2.330679597709252903e+03	2.458372857286468047e+02	2.207982186263884872e-02	2.741556684199074425e+03	6.592943476963527560e-01	1.247425609500039424e-02
2.050000000000000266e+00	5.979523652611620491e+05	4.502493866058708605e+00	1.395251292042863440e+02	2.418641826093612113e-01	4.023123702811952520e-06	1.431661220899328235e+00	2.836990723024890940e+03	3.618370901029961715e+03	2.330691313921221081e+03	2.458317789764894030e+02	2.207958007135320602e-02	2.741612977112455610e+03	6.593039220155108016e-01	1.247425744556532497e-02
2.100000000000000089e+00	5.979024073047649581e+05	4.502554507207755741e+00	1.395231237979995740e+02	2.418676568916698910e-01	4.023041095235231167e-06	1.431651107238065546e+00	2.836766010946852475e+03	3.618458117578971724e+03	2.330703030133189259e+03	2.458262722243320013e+02	2.207933828006756333e-02	2.741669272337631355e+03	6.593134958917425958e-01	1.247425733717223185e-02
2.149999999999999911e+00	5.978524495140726212e+05	4.502615184425092565e+00	1.395211177929274982e+02	2.418711591213247025e-01	4.022958487658509814e-06	1.431640993576803078e+00	2.836541298868814010e+03	3.618545334127981732e+03	2.330714746345156982e+03	2.458207654721745712e+02	2.207909648878192063e-02	2.741725569874743542e+03	6.593230693250332619e-01	1.247425861144808683e-02
2.200000000000000178e+00	5.978024901085771853e+05	4.502675831858097943e+00	1.395191119382635065e+02	2.418746279223731588e-01	4.022875880081789308e-06	1.431630879915540167e+00	2.836316586790775546e+03	3.618632550676990832e+03	2.330726462557125160e+03	2.458152587200171411e+02	2.207885469749627794e-02	2.741781869723934051e+03	6.593326423153685889e-01	1.247425816995629926e-02
2.250000000000000000e+00	5.977525308799453778e+05	4.502736458396064734e+00	1.395171061725219204e+02	2.418781317175784928e-01	4.022793272505067955e-06	1.431620766254277477e+00	2.836091874712737081e+03	3.618719767226000840e+03	2.330738178769093338e+03	2.458097519678597394e+02	2.207861290621063177e-02	2.741838171885346128e+03	6.593422148627340329e-01	1.247425953600719839e-02
2.300000000000000266e+00	5.977025700255159754e+05	4.502797091169460586e+00	1.395151001223138110e+02	2.418816026050779056e-01	4.022710664928346602e-06	1.431610652593015010e+00	2.835867162634698616e+03	3.618806983775010849e+03	2.330749894981061516e+03	2.458042452157023092e+02	2.207837111492499255e-02	2.741894476359122109e+03	6.593517869671144949e-01	1.247425917431965563e-02
2.350000000000000089e+00	5.976526093567574862e+05	4.502857704811440875e+00	1.395130941400551023e+02	2.418851055505001069e-01	4.022628057351625249e-06	1.431600538931752098e+00	2.835642450556659696e+03	3.618894200324019948e+03	2.330761611193029694e+03	2.457987384635449075e+02	2.207812932363934638e-02	2.741950783145403875e+03	6.593613586284959860e-01	1.247426046681970185e-02
2.400000000000000355e+00	5.976026470530547667e+05	4.502918331550894493e+00	1.395110877902517075e+02	2.418885812246924505e-01	4.022545449774903896e-06	1.431590425270489408e+00	2.835417738478621231e+03	3.618981416873029957e+03	2.330773327404997872e+03	2.457932317113875058e+02	2.207788753235370716e-02	2.742007092244334672e+03	6.593709298468636293e-01	1.247426031487633077e-02
2.450000000000000178e+00	5.975526849421575898e+05	4.502979005567826043e+00	1.395090807067254843e+02	2.418920826320544448e-01	4.022462842198182543e-06	1.431580311609226941e+00	2.835193026400582312e+03	3.619068633422039511e+03	2.330785043616965595e+03	2.457877249592300757e+02	2.207764574106806099e-02	2.742063403656056835e+03	6.593805006222032139e-01	1.247426141921889955e-02
2.500000000000000000e+00	5.975027211894346401e+05	4.503039638328716343e+00	1.395070739116856089e+02	2.418955572044546309e-01	4.022380234621461190e-06	1.431570197947964029e+00	2.834968314322543847e+03	3.619155849971049065e+03	2.330796759828933773e+03	2.457822182070726740e+02	2.207740394978241830e-02	2.742119717380712700e+03	6.593900709544997518e-01	1.247426116031494399e-02
2.550000000000000266e+00	5.974527576393838972e+05	4.503100264048899959e+00	1.395050670390917276e+02	2.418990608037708545e-01	4.022297627044740684e-06	1.431560084286701562e+00	2.834743602244505837e+03	3.619243066520059074e+03	2.330808476040901951e+03	2.457767114549152438e+02	2.207716215849677907e-02	2.742176033418443694e+03	6.593996408437391432e-01	1.247426238618270893e-02
2.600000000000000089e+00	5.974027924366169609e+05	4.503160864364506466e+00	1.395030602634637944e+02	2.419025352479432511e-01	4.022215019468019331e-06	1.431549970625438650e+00	2.834518890166466917e+03	3.619330283069068628e+03	2.330820192252870129e+03	2.457712047027578137e+02	2.207692036721113291e-02	2.742232351769393517e+03	6.594092102899065111e-01	1.247426211207064255e-02
2.650000000000000355e+00	5.973528274458544329e+05	4.503221491339633786e+00	1.395010530034919611e+02	2.419060442372052699e-01	4.022132411891297978e-06	1.431539856964176183e+00	2.834294178088428453e+03	3.619417499618078182e+03	2.330831908464838307e+03	2.457656979506004120e+02	2.207667857592549021e-02	2.742288672433704960e+03	6.594187792929873115e-01	1.247426357086514441e-02
2.700000000000000178e+00	5.973028607906446559e+05	4.503282090510804636e+00	1.394990458692334698e+02	2.419095141036889107e-01	4.022049804314576625e-06	1.431529743302913493e+00	2.834069466010389988e+03	3.619504716167088191e+03	2.330843624676806485e+03	2.457601911984430103e+02	2.207643678463984752e-02	2.742344995411520813e+03	6.594283478529671116e-01	1.247426301829570455e-02
