xcoord (m)	temperature (K)	B_field (T)	T_cur_sharing (K)
0.000000000000000000e+00	4.500012744832277534e+00	0.000000000000000000e+00	1.621670120032514717e+01
5.000000000000000278e-02	4.500062912325913267e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.000000000000000056e-01	4.500125218819451156e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.500000000000000222e-01	4.500185798152691596e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.000000000000000111e-01	4.500246602799185425e+00	0.000000000000000000e+00	1.621670120032514717e+01
2.500000000000000000e-01	4.500307384368317010e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.000000000000000444e-01	4.500368159156288073e+00	0.000000000000000000e+00	1.621670120032514717e+01
3.500000000000000333e-01	4.500428945580607909e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.000000000000000222e-01	4.500489716002815221e+00	0.000000000000000000e+00	1.621670120032514717e+01
4.500000000000000111e-01	4.500550512267103898e+00	0.000000000000000000e+00	1.621670120032514717e+01
5.000000000000000000e-01	4.500611288312906133e+00	0.000000000000000000e+00	1.621670120032514717e+01
5.500000000000000444e-01	4.500672066144680628e+00	0.000000000000000000e+00	1.621670120032514717e+01
6.000000000000000888e-01	4.500732841660438410e+00	0.000000000000000000e+00	1.621670120032514717e+01
6.500000000000000222e-01	4.500793597292521042e+00	0.000000000000000000e+00	1.621670120032514717e+01
7.000000000000000666e-01	4.500854377044385402e+00	0.000000000000000000e+00	1.621670120032514717e+01
7.500000000000000000e-01	4.500915170350852534e+00	0.000000000000000000e+00	1.621670120032514717e+01
8.000000000000000444e-01	4.500975934057617422e+00	0.000000000000000000e+00	1.621670120032514717e+01
8.500000000000000888e-01	4.501036707073810206e+00	0.000000000000000000e+00	1.621670120032514717e+01
9.000000000000000222e-01	4.501097488834729710e+00	0.000000000000000000e+00	1.621670120032514717e+01
9.500000000000000666e-01	4.501158237281551067e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.000000000000000000e+00	4.501218990706658651e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.050000000000000044e+00	4.501279740993825662e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.100000000000000089e+00	4.501340498633582321e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.150000000000000133e+00	4.501401220626239486e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.200000000000000178e+00	4.501461966004628223e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.250000000000000000e+00	4.501522707365816167e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.300000000000000044e+00	4.501583441200871505e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.350000000000000089e+00	4.501644169246977079e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.400000000000000133e+00	4.501704892389875923e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.450000000000000178e+00	4.501765584084791882e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.500000000000000000e+00	4.501826303899163939e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.550000000000000044e+00	4.501887022578498154e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.600000000000000089e+00	4.501947740587243452e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.650000000000000133e+00	4.502008462720523241e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.700000000000000178e+00	4.502069149759709177e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.750000000000000000e+00	4.502129845138671982e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.800000000000000044e+00	4.502190530154082104e+00	0.000000000000000000e+00	1.621670120032514717e+01
1.850000000000000089e+00	4.502251201386076040e+00	0.000000000000000000e+00	1.621670120032514717e+01
