xcoord (m)	temperature (K)
0.000000000000000000e+00	4.500001900204286365e+00
5.000000000000000278e-02	4.500064457694172404e+00
1.000000000000000056e-01	4.500125000063492031e+00
1.500000000000000222e-01	4.500185823487403702e+00
2.000000000000000111e-01	4.500246596711676261e+00
2.500000000000000000e-01	4.500307380918068034e+00
3.000000000000000444e-01	4.500368152081756001e+00
3.500000000000000333e-01	4.500428944187513380e+00
4.000000000000000222e-01	4.500489712205444803e+00
4.500000000000000111e-01	4.500550512176515916e+00
5.000000000000000000e-01	4.500611282544399572e+00
5.500000000000000444e-01	4.500672062694833109e+00
6.000000000000000888e-01	4.500732844068467742e+00
6.500000000000000222e-01	4.500793599756367946e+00
7.000000000000000666e-01	4.500854380029184476e+00
7.500000000000000000e-01	4.500915172267947462e+00
8.000000000000000444e-01	4.500975934552283952e+00
8.500000000000000888e-01	4.501036709805852354e+00
9.000000000000000222e-01	4.501097485603687609e+00
9.500000000000000666e-01	4.501158233742468262e+00
1.000000000000000000e+00	4.501218993078992092e+00
1.050000000000000044e+00	4.501279734338502259e+00
1.100000000000000089e+00	4.501340498811310376e+00
1.150000000000000133e+00	4.501401216380737758e+00
1.200000000000000178e+00	4.501461966272433557e+00
1.250000000000000000e+00	4.501522705678099534e+00
1.300000000000000044e+00	4.501583445398308569e+00
1.350000000000000089e+00	4.501644174260471587e+00
1.400000000000000133e+00	4.501704901903796241e+00
1.450000000000000178e+00	4.501765589633262898e+00
1.500000000000000000e+00	4.501826309862430264e+00
1.550000000000000044e+00	4.501887027570776745e+00
1.600000000000000089e+00	4.501947736541765721e+00
1.650000000000000133e+00	4.502008457471612601e+00
1.700000000000000178e+00	4.502069145509262071e+00
1.750000000000000000e+00	4.502129847619945835e+00
1.800000000000000044e+00	4.502190528717209261e+00
1.850000000000000089e+00	4.502251204359085435e+00
1.900000000000000133e+00	4.502311879391863947e+00
1.950000000000000178e+00	4.502372541004814543e+00
2.000000000000000000e+00	4.502433216267606397e+00
2.050000000000000266e+00	4.502493865224440839e+00
2.100000000000000089e+00	4.502554511960193295e+00
2.149999999999999911e+00	4.502615182400183436e+00
2.200000000000000178e+00	4.502675825895587458e+00
2.250000000000000000e+00	4.502736454467388683e+00
2.300000000000000266e+00	4.502797091633705229e+00
2.350000000000000089e+00	4.502857714874165751e+00
2.400000000000000355e+00	4.502918342164295318e+00
2.450000000000000178e+00	4.502979011222231875e+00
2.500000000000000000e+00	4.503039638143104817e+00
2.550000000000000266e+00	4.503100263034464312e+00
2.600000000000000089e+00	4.503160868690143204e+00
2.650000000000000355e+00	4.503221492121139313e+00
2.700000000000000178e+00	4.503282084514372841e+00
2.750000000000000000e+00	4.503342658732139903e+00
