xcoord (m)	temperature (K)	B_field (T)	T_cur_sharing (K)
0.000000000000000000e+00	4.500000872842850441e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.169914668177176348e-02	4.500001381830681879e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.339829336354352696e-02	4.500002385797376547e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.250974400453152835e-01	4.500003555450871495e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.667965867270870539e-01	4.500004808281949487e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.084957334088588243e-01	4.500006121382362778e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.501948800906305670e-01	4.500007483568987610e+00	0.000000000000000000e+00	2.492500000000000000e+02
2.918940267724023374e-01	4.500008889302876014e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.335931734541741078e-01	4.500010332443265426e+00	0.000000000000000000e+00	2.492500000000000000e+02
3.752923201359458782e-01	4.500011809482108660e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.169914668177176487e-01	4.500013315588713425e+00	0.000000000000000000e+00	2.492500000000000000e+02
4.586906134994894191e-01	4.500014848235467824e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.003897601812611340e-01	4.500016403483556360e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.420889068630329044e-01	4.500017979534732149e+00	0.000000000000000000e+00	2.492500000000000000e+02
5.837880535448046748e-01	4.500019573143560159e+00	0.000000000000000000e+00	2.492500000000000000e+02
6.254872002265764452e-01	4.500021183074442099e+00	0.000000000000000000e+00	2.492500000000000000e+02
6.671863469083482157e-01	4.500022806627823613e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.088854935901199861e-01	4.500024443003045604e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.505846402718917565e-01	4.500026089932116058e+00	0.000000000000000000e+00	2.492500000000000000e+02
7.922837869536635269e-01	4.500027746947205642e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.339829336354352973e-01	4.500029412121064887e+00	0.000000000000000000e+00	2.492500000000000000e+02
8.756820803172070677e-01	4.500031085238859418e+00	0.000000000000000000e+00	2.492500000000000000e+02
9.173812269989788382e-01	4.500032764636586968e+00	0.000000000000000000e+00	2.492500000000000000e+02
9.590803736807506086e-01	4.500034450269436270e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.000779520362522268e+00	4.500036140614908753e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.042478667044294038e+00	4.500037835559566268e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.084177813726065809e+00	4.500039533117009327e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.125876960407837579e+00	4.500041231410747855e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.167576107089609350e+00	4.500042923134424555e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.209275253771381120e+00	4.500044589764469194e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.250974400453152890e+00	4.500046195672126714e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.289312000377627498e+00	4.500047618773957758e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.321260000314689709e+00	4.500048787592467292e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.347883333595574884e+00	4.500049758608346551e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.370069444662979086e+00	4.500050567861976880e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.388557870552482587e+00	4.500051243713596882e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.403964892127068875e+00	4.500051808879907966e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.416804076772557375e+00	4.500052282130946324e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.427503397310464495e+00	4.500052678768868830e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.436419497758720354e+00	4.500053011453987395e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.443849581465600274e+00	4.500053290596643940e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.450041317888000281e+00	4.500053524850010866e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.455201098240000324e+00	4.500053721403796558e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.459500915200000248e+00	4.500053886276262460e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.463084096000000223e+00	4.500054024510925288e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.466070080000000164e+00	4.500054140351270604e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.468558400000000264e+00	4.500054237369758958e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.470632000000000161e+00	4.500054318578075474e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.472360000000000113e+00	4.500054386514509730e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.473799999999999999e+00	4.500054443318180830e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.475000000000000089e+00	4.500054490790375894e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.475999999999999979e+00	4.500054530446501388e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.477000000000000091e+00	4.500054570189678138e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.477999999999999980e+00	4.500054610019194712e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.479000000000000092e+00	4.500054649934167372e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.479999999999999982e+00	4.500054689933669749e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.481000000000000094e+00	4.500054730016715077e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.481999999999999984e+00	4.500054770182348562e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.483000000000000096e+00	4.500054810429608310e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.483999999999999986e+00	4.500054850757591929e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.485000000000000098e+00	4.500054891165416571e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.485999999999999988e+00	4.500054931652281986e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.487000000000000099e+00	4.500054972217423455e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.487999999999999989e+00	4.500055012860157078e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.489000000000000101e+00	4.500055053579839814e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.489999999999999991e+00	4.500055094375928100e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.491000000000000103e+00	4.500055135247906790e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.491999999999999993e+00	4.500055176195363771e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.493000000000000105e+00	4.500055217217926895e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.493999999999999995e+00	4.500055258315315498e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.495000000000000107e+00	4.500055299487291549e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.495999999999999996e+00	4.500055340733711162e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.497000000000000108e+00	4.500055382054465980e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.497999999999999998e+00	4.500055423449539127e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.499000000000000110e+00	4.500055464918959025e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.500000000000000000e+00	4.500055506462841137e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.500999999999999890e+00	4.500055548081337342e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.502000000000000002e+00	4.500055589774691889e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.502999999999999892e+00	4.500055631543194323e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.504000000000000004e+00	4.500055673387223010e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.504999999999999893e+00	4.500055715307168747e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.506000000000000005e+00	4.500055757303529802e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.506999999999999895e+00	4.500055799376845300e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.508000000000000007e+00	4.500055841527735190e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.508999999999999897e+00	4.500055883756859387e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.510000000000000009e+00	4.500055926064967515e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.510999999999999899e+00	4.500055968452842947e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.512000000000000011e+00	4.500056010921333005e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.512999999999999901e+00	4.500056053471346296e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.514000000000000012e+00	4.500056096103854486e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.514999999999999902e+00	4.500056138819860330e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.516000000000000014e+00	4.500056181620427864e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.516999999999999904e+00	4.500056224506648661e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.518000000000000016e+00	4.500056267479666694e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.518999999999999906e+00	4.500056310540606397e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.520000000000000018e+00	4.500056353690618849e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.520999999999999908e+00	4.500056396930801839e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.522000000000000020e+00	4.500056440262205193e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.522999999999999909e+00	4.500056483685755282e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.524000000000000021e+00	4.500056527202191070e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.524999999999999911e+00	4.500056570811643120e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.526200000000000001e+00	4.500056623263620992e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.527639999999999887e+00	4.500056686374790615e+00	0.000000000000000000e+00	2.492500000000000000e+02
1.529367999999999839e+00	4.500056762342147465e+00	0.000000000000000000e+00	2.492500000000000000e+02
