xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	4.500000858238890622e+00	0.000000000000000000e+00
4.169914668177176348e-02	4.500001380390776795e+00	0.000000000000000000e+00
8.339829336354352696e-02	4.500002389631046817e+00	0.000000000000000000e+00
1.250974400453152835e-01	4.500003562331881035e+00	0.000000000000000000e+00
1.667965867270870539e-01	4.500004817433950421e+00	0.000000000000000000e+00
2.084957334088588243e-01	4.500006132552017313e+00	0.000000000000000000e+00
2.501948800906305670e-01	4.500007496404624163e+00	0.000000000000000000e+00
2.918940267724023374e-01	4.500008903704753926e+00	0.000000000000000000e+00
3.335931734541741078e-01	4.500010348130530247e+00	0.000000000000000000e+00
3.752923201359458782e-01	4.500011826400959869e+00	0.000000000000000000e+00
4.169914668177176487e-01	4.500013333500973545e+00	0.000000000000000000e+00
4.586906134994894191e-01	4.500014867118659723e+00	0.000000000000000000e+00
5.003897601812611340e-01	4.500016423132795929e+00	0.000000000000000000e+00
5.420889068630329044e-01	4.500017999951227310e+00	0.000000000000000000e+00
5.837880535448046748e-01	4.500019594148890079e+00	0.000000000000000000e+00
6.254872002265764452e-01	4.500021204687740806e+00	0.000000000000000000e+00
6.671863469083482157e-01	4.500022828691869314e+00	0.000000000000000000e+00
7.088854935901199861e-01	4.500024465550441555e+00	0.000000000000000000e+00
7.505846402718917565e-01	4.500026112822780533e+00	0.000000000000000000e+00
7.922837869536635269e-01	4.500027770223645973e+00	0.000000000000000000e+00
8.339829336354352973e-01	4.500029435657169508e+00	0.000000000000000000e+00
8.756820803172070677e-01	4.500031109084431158e+00	0.000000000000000000e+00
9.173812269989788382e-01	4.500032788676946005e+00	0.000000000000000000e+00
9.590803736807506086e-01	4.500034474560171027e+00	0.000000000000000000e+00
1.000779520362522268e+00	4.500036165052114789e+00	0.000000000000000000e+00
1.042478667044294038e+00	4.500037860206470341e+00	0.000000000000000000e+00
1.084177813726065809e+00	4.500039557890309183e+00	0.000000000000000000e+00
1.125876960407837579e+00	4.500041256411572377e+00	0.000000000000000000e+00
1.167576107089609350e+00	4.500042948395074127e+00	0.000000000000000000e+00
1.209275253771381120e+00	4.500044615731687792e+00	0.000000000000000000e+00
1.250974400453152890e+00	4.500046221648584144e+00	0.000000000000000000e+00
1.289312000377627498e+00	4.500047644175876549e+00	0.000000000000000000e+00
1.321260000314689709e+00	4.500048812740902626e+00	0.000000000000000000e+00
1.347883333595574884e+00	4.500049783668260694e+00	0.000000000000000000e+00
1.370069444662979086e+00	4.500050592782985248e+00	0.000000000000000000e+00
1.388557870552482587e+00	4.500051268553346695e+00	0.000000000000000000e+00
1.403964892127068875e+00	4.500051833568861070e+00	0.000000000000000000e+00
1.416804076772557375e+00	4.500052306706914251e+00	0.000000000000000000e+00
1.427503397310464495e+00	4.500052703175104085e+00	0.000000000000000000e+00
1.436419497758720354e+00	4.500053035722122452e+00	0.000000000000000000e+00
1.443849581465600274e+00	4.500053314691373707e+00	0.000000000000000000e+00
1.450041317888000281e+00	4.500053548800378778e+00	0.000000000000000000e+00
1.455201098240000324e+00	4.500053745194195542e+00	0.000000000000000000e+00
1.459500915200000248e+00	4.500053909933495078e+00	0.000000000000000000e+00
1.463084096000000223e+00	4.500054048033850229e+00	0.000000000000000000e+00
1.466070080000000164e+00	4.500054163765002002e+00	0.000000000000000000e+00
1.468558400000000264e+00	4.500054260683520546e+00	0.000000000000000000e+00
1.470632000000000161e+00	4.500054341816292158e+00	0.000000000000000000e+00
1.472360000000000113e+00	4.500054409692595847e+00	0.000000000000000000e+00
1.473799999999999999e+00	4.500054466458774272e+00	0.000000000000000000e+00
1.475000000000000089e+00	4.500054513910044740e+00	0.000000000000000000e+00
1.475999999999999979e+00	4.500054553562176984e+00	0.000000000000000000e+00
1.477000000000000091e+00	4.500054593308559170e+00	0.000000000000000000e+00
1.477999999999999980e+00	4.500054633148041106e+00	0.000000000000000000e+00
1.479000000000000092e+00	4.500054673075345235e+00	0.000000000000000000e+00
1.479999999999999982e+00	4.500054713090525738e+00	0.000000000000000000e+00
1.481000000000000094e+00	4.500054753189263401e+00	0.000000000000000000e+00
1.481999999999999984e+00	4.500054793372184392e+00	0.000000000000000000e+00
1.483000000000000096e+00	4.500054833635549478e+00	0.000000000000000000e+00
1.483999999999999986e+00	4.500054873980321446e+00	0.000000000000000000e+00
1.485000000000000098e+00	4.500054914403163409e+00	0.000000000000000000e+00
1.485999999999999988e+00	4.500054954905237992e+00	0.000000000000000000e+00
1.487000000000000099e+00	4.500054995483527165e+00	0.000000000000000000e+00
1.487999999999999989e+00	4.500055036139350761e+00	0.000000000000000000e+00
1.489000000000000101e+00	4.500055076869946546e+00	0.000000000000000000e+00
1.489999999999999991e+00	4.500055117676748928e+00	0.000000000000000000e+00
1.491000000000000103e+00	4.500055158557237256e+00	0.000000000000000000e+00
1.491999999999999993e+00	4.500055199512931203e+00	0.000000000000000000e+00
1.493000000000000105e+00	4.500055240541528612e+00	0.000000000000000000e+00
1.493999999999999995e+00	4.500055281644629979e+00	0.000000000000000000e+00
1.495000000000000107e+00	4.500055322820144532e+00	0.000000000000000000e+00
1.495999999999999996e+00	4.500055364069746489e+00	0.000000000000000000e+00
1.497000000000000108e+00	4.500055405391540475e+00	0.000000000000000000e+00
1.497999999999999998e+00	4.500055446787277091e+00	0.000000000000000000e+00
1.499000000000000110e+00	4.500055488255257252e+00	0.000000000000000000e+00
1.500000000000000000e+00	4.500055529797296394e+00	0.000000000000000000e+00
1.500999999999999890e+00	4.500055571411887279e+00	0.000000000000000000e+00
1.502000000000000002e+00	4.500055613100917284e+00	0.000000000000000000e+00
1.502999999999999892e+00	4.500055654863063026e+00	0.000000000000000000e+00
1.504000000000000004e+00	4.500055696700283825e+00	0.000000000000000000e+00
1.504999999999999893e+00	4.500055738611448142e+00	0.000000000000000000e+00
1.506000000000000005e+00	4.500055780598582800e+00	0.000000000000000000e+00
1.506999999999999895e+00	4.500055822660733007e+00	0.000000000000000000e+00
1.508000000000000007e+00	4.500055864800010852e+00	0.000000000000000000e+00
1.508999999999999897e+00	4.500055907015654277e+00	0.000000000000000000e+00
1.510000000000000009e+00	4.500055949309856196e+00	0.000000000000000000e+00
1.510999999999999899e+00	4.500055991682056167e+00	0.000000000000000000e+00
1.512000000000000011e+00	4.500056034134537697e+00	0.000000000000000000e+00
1.512999999999999901e+00	4.500056076666944627e+00	0.000000000000000000e+00
1.514000000000000012e+00	4.500056119281691913e+00	0.000000000000000000e+00
1.514999999999999902e+00	4.500056161978648994e+00	0.000000000000000000e+00
