xcoord (m)	temperature (K)
0.000000000000000000e+00	4.500000854304142095e+00
4.169914668177176348e-02	4.500001377037054162e+00
8.339829336354352696e-02	4.500002384906979458e+00
1.250974400453152835e-01	4.500003555834791058e+00
1.667965867270870539e-01	4.500004809293077557e+00
2.084957334088588243e-01	4.500006122911059947e+00
2.501948800906305670e-01	4.500007485452064415e+00
2.918940267724023374e-01	4.500008891573462400e+00
3.335931734541741078e-01	4.500010334975627302e+00
3.752923201359458782e-01	4.500011812323749361e+00
4.169914668177176487e-01	4.500013318626413295e+00
4.586906134994894191e-01	4.500014851522357695e+00
5.003897601812611340e-01	4.500016406915761991e+00
5.420889068630329044e-01	4.500017983169076530e+00
5.837880535448046748e-01	4.500019576883854455e+00
6.254872002265764452e-01	4.500021186979919818e+00
6.671863469083482157e-01	4.500022810608728108e+00
7.088854935901199861e-01	4.500024447120051008e+00
7.505846402718917565e-01	4.500026094100959106e+00
7.922837869536635269e-01	4.500027751229222162e+00
8.339829336354352973e-01	4.500029416436788665e+00
8.756820803172070677e-01	4.500031089649739080e+00
9.173812269989788382e-01	4.500032769067440874e+00
9.590803736807506086e-01	4.500034454782038118e+00
1.000779520362522268e+00	4.500036145139299393e+00
1.042478667044294038e+00	4.500037840161683178e+00
1.084177813726065809e+00	4.500039537745036178e+00
1.125876960407837579e+00	4.500041236170941872e+00
1.167576107089609350e+00	4.500042928104615925e+00
1.209275253771381120e+00	4.500044595462678210e+00
1.250974400453152890e+00	4.500046201352603248e+00
1.289312000377627498e+00	4.500047623786267437e+00
1.321260000314689709e+00	4.500048792368136930e+00
1.347883333595574884e+00	4.500049763313278994e+00
1.370069444662979086e+00	4.500050572453653253e+00
1.388557870552482587e+00	4.500051248226392353e+00
1.403964892127068875e+00	4.500051813250341759e+00
1.416804076772557375e+00	4.500052286372884680e+00
1.427503397310464495e+00	4.500052682835563367e+00
1.436419497758720354e+00	4.500053015355227615e+00
1.443849581465600274e+00	4.500053294310741414e+00
1.450041317888000281e+00	4.500053528388033186e+00
1.455201098240000324e+00	4.500053724764805807e+00
1.459500915200000248e+00	4.500053889474309621e+00
1.463084096000000223e+00	4.500054027558038072e+00
1.466070080000000164e+00	4.500054143265960427e+00
1.468558400000000264e+00	4.500054240172304709e+00
1.470632000000000161e+00	4.500054321291862891e+00
1.472360000000000113e+00	4.500054389163932633e+00
1.473799999999999999e+00	4.500054445926979341e+00
1.475000000000000089e+00	4.500054493378769394e+00
1.475999999999999979e+00	4.500054533028593262e+00
1.477000000000000091e+00	4.500054572774347506e+00
1.477999999999999980e+00	4.500054612613294758e+00
1.479000000000000092e+00	4.500054652542463174e+00
1.479999999999999982e+00	4.500054692559231739e+00
1.481000000000000094e+00	4.500054732661295631e+00
1.481999999999999984e+00	4.500054772846738160e+00
1.483000000000000096e+00	4.500054813113890440e+00
1.483999999999999986e+00	4.500054853461329607e+00
1.485000000000000098e+00	4.500054893887805996e+00
1.485999999999999988e+00	4.500054934392267114e+00
1.487000000000000099e+00	4.500054974973765276e+00
1.487999999999999989e+00	4.500055015631478028e+00
1.489000000000000101e+00	4.500055056364677952e+00
1.489999999999999991e+00	4.500055097172762864e+00
1.491000000000000103e+00	4.500055138055183868e+00
1.491999999999999993e+00	4.500055179011499540e+00
1.493000000000000105e+00	4.500055220041336845e+00
1.493999999999999995e+00	4.500055261144398244e+00
1.495000000000000107e+00	4.500055302320449258e+00
1.495999999999999996e+00	4.500055343569348665e+00
1.497000000000000108e+00	4.500055384890990773e+00
1.497999999999999998e+00	4.500055426285368476e+00
1.499000000000000110e+00	4.500055467752519966e+00
1.500000000000000000e+00	4.500055509292552713e+00
1.500999999999999890e+00	4.500055550905651458e+00
1.502000000000000002e+00	4.500055592592051568e+00
1.502999999999999892e+00	4.500055634352058576e+00
1.504000000000000004e+00	4.500055676186039300e+00
1.504999999999999893e+00	4.500055718094430723e+00
1.506000000000000005e+00	4.500055760077732003e+00
1.506999999999999895e+00	4.500055802136511574e+00
1.508000000000000007e+00	4.500055844271405370e+00
1.508999999999999897e+00	4.500055886483111500e+00
1.510000000000000009e+00	4.500055928772419556e+00
1.510999999999999899e+00	4.500055971140174194e+00
1.512000000000000011e+00	4.500056013587335535e+00
1.512999999999999901e+00	4.500056056114922320e+00
1.514000000000000012e+00	4.500056098724078524e+00
1.514999999999999902e+00	4.500056141416048483e+00
1.516000000000000014e+00	4.500056184192219533e+00
1.516999999999999904e+00	4.500056227054137103e+00
1.518000000000000016e+00	4.500056270003560677e+00
1.518999999999999906e+00	4.500056313042454015e+00
1.520000000000000018e+00	4.500056356173113059e+00
1.520999999999999908e+00	4.500056399398178364e+00
1.522000000000000020e+00	4.500056442720686611e+00
1.522999999999999909e+00	4.500056486143958701e+00
1.524000000000000021e+00	4.500056529671047301e+00
1.524999999999999911e+00	4.500056573302972929e+00
1.526200000000000001e+00	4.500056625795953558e+00
1.527639999999999887e+00	4.500056688970909491e+00
1.529367999999999839e+00	4.500056765026935857e+00
1.531441599999999736e+00	4.500056856621795554e+00
1.533929919999999836e+00	4.500056966969427030e+00
1.536915903999999777e+00	4.500057099956249473e+00
1.540499084799999752e+00	4.500057260281715266e+00
1.544798901759999676e+00	4.500057453619992209e+00
1.549958682111999719e+00	4.500057686818950131e+00
1.556150418534399726e+00	4.500057968115453555e+00
1.563580502241279646e+00	4.500058307414683156e+00
1.572496602689535505e+00	4.500058716567942874e+00
1.583195923227442625e+00	4.500059209766954282e+00
1.596035107872931125e+00	4.500059803891886645e+00
1.611442129447517413e+00	4.500060519035943507e+00
1.629930555337020914e+00	4.500061378799187217e+00
1.652116666404425116e+00	4.500062410467102758e+00
1.678739999685310291e+00	4.500063643394542900e+00
1.710687999622372502e+00	4.500065101403776247e+00
1.749025599546847110e+00	4.500066788580865840e+00
1.790724746228618880e+00	4.500068557604695485e+00
1.832423892910390650e+00	4.500070301501633452e+00
1.874123039592162421e+00	4.500072039189810802e+00
1.915822186273934191e+00	4.500073774873448507e+00
1.957521332955705962e+00	4.500075509730140588e+00
1.999220479637477732e+00	4.500077243926685178e+00
2.040919626319249502e+00	4.500078977694259130e+00
2.082618773001021051e+00	4.500080710984045496e+00
2.124317919682793043e+00	4.500082443957556855e+00
2.166017066364564592e+00	4.500084176551033543e+00
2.207716213046336584e+00	4.500085908904928544e+00
2.249415359728108132e+00	4.500087640953920776e+00
2.291114506409880125e+00	4.500089372822096756e+00
2.332813653091651673e+00	4.500091104444433832e+00
2.374512799773423666e+00	4.500092835930619373e+00
2.416211946455195214e+00	4.500094567218022590e+00
2.457911093136967207e+00	4.500096298402707973e+00
2.499610239818738755e+00	4.500098029424065338e+00
2.541309386500510747e+00	4.500099760362772372e+00
2.583008533182282296e+00	4.500101491151213828e+00
2.624707679864054288e+00	4.500103221826186939e+00
2.666406826545825837e+00	4.500104952227663269e+00
2.708105973227597829e+00	4.500106682097151811e+00
2.749805119909369377e+00	4.500108410442400952e+00
2.791504266591140926e+00	4.500110134534598849e+00
2.833203413272912918e+00	4.500111846171688690e+00
2.874902559954684911e+00	4.500113521383196868e+00
2.916601706636456459e+00	4.500115090142989160e+00
2.958300853318228008e+00	4.500116339928174725e+00
3.000000000000000000e+00	4.500116826457627894e+00
