xcoord (m)	pressure (Pa)	temperature (K)	total_density (kg/m^3)	velocity (m/s)	isobaric_expansion_coefficient (1/K)	isothermal_compressibility (1/Pa)	Prandtl (~)	total_dynamic_viscosity (Pa*s)	total_enthalpy (J/kg)	total_isobaric_specific_heat (J/kg/K)	total_isochoric_specific_heat (J/kg/K)	total_speed_of_sound (m/s)	total_thermal_conductivity (W/m/K)	Reynolds (~)	Gruneisen (~)	mass_flow_rate (kg/s)
0.000000000000000000e+00	2.523877585823268746e+05	3.000000000000000000e+01	4.034380655186223130e+00	9.836115086871792812e+00	3.362490865453926503e-02	3.983833569858371319e-06	7.230029679903183792e-01	4.675426575100397652e-06	1.603705095785005251e+05	5.249339772335731141e+03	3.118862395585505055e+03	3.251404166159433089e+02	3.394578412524386357e-02	1.273123377305752510e+05	6.771709902777987011e-01	9.349999988473894214e-03
5.000000000000000000e-01	2.518839179687732831e+05	3.001031744119983813e+01	4.024963232757484910e+00	9.847512494145634676e+00	3.362410022329736375e-02	3.995864863054568675e-06	7.229760599147677658e-01	4.675218053150647235e-06	1.603721500148995838e+05	5.249174069525458435e+03	3.118853544482014513e+03	3.251315942702890993e+02	3.394446197411963434e-02	1.273180160575728514e+05	6.771393368907393517e-01	9.338983199261340420e-03
1.000000000000000000e+00	2.513450545016962569e+05	3.001904419126637080e+01	4.015209699289397527e+00	9.882199009360229880e+00	3.362329140468806044e-02	4.007968690475473608e-06	7.229491165317276646e-01	4.675009525984577396e-06	1.603737908014760469e+05	5.249008350804647307e+03	3.118844693294800436e+03	3.251227733595021050e+02	3.394314133712256210e-02	1.273236950331835978e+05	6.771076844976544606e-01	9.349167988874701116e-03
1.500000000000000000e+00	2.508364181628717633e+05	3.002915816393563375e+01	4.005755876971848650e+00	9.895383280999681119e+00	3.362248219867827737e-02	4.020145710309884315e-06	7.229221377757062417e-01	4.674800993602462574e-06	1.603754319382671092e+05	5.248842616172535600e+03	3.118835842022462657e+03	3.251139538837223313e+02	3.394182221731776444e-02	1.273293746575058321e+05	6.770760330986462794e-01	9.339599110785950370e-03
2.000000000000000000e+00	2.502972028059753939e+05	3.003788534120143794e+01	3.996008287206912257e+00	9.928899071562492296e+00	3.362167260523462459e-02	4.032396588734159495e-06	7.228951235810023856e-01	4.674592456004583137e-06	1.603770734253099072e+05	5.248676865628341147e+03	3.118826990663600554e+03	3.251051358430908067e+02	3.394050461778051059e-02	1.273350549306377798e+05	6.770443826938159493e-01	9.348428534959801056e-03
2.500000000000000000e+00	2.497840376689017867e+05	3.004781438106770608e+01	3.986519546015006465e+00	9.943690708610558815e+00	3.362086262432330275e-02	4.044722000033744707e-06	7.228680738817020446e-01	4.674383913191213524e-06	1.603787152626418683e+05	5.248511099171245405e+03	3.118818139216811232e+03	3.250963192377490145e+02	3.393918854159623522e-02	1.273407358526777389e+05	6.770127332832643896e-01	9.340123985306123672e-03
3.000000000000000000e+00	2.492441660578784649e+05	3.005652922630481072e+01	3.976774703635268082e+00	9.976219078813288732e+00	3.362005225591022800e-02	4.057122626726952685e-06	7.228409886116806682e-01	4.674175365162640879e-06	1.603803574503005366e+05	5.248345316800414366e+03	3.118809287680689977e+03	3.250875040678392907e+02	3.393787399186067033e-02	1.273464174237238622e+05	6.769810848670912984e-01	9.347771792337871907e-03
3.500000000000000000e+00	2.487267021425697603e+05	3.006628536834409005e+01	3.967252838477811849e+00	9.992457062755963904e+00	3.361924149996094874e-02	4.069599159690986594e-06	7.228138677045967686e-01	4.673966811919139641e-06	1.603819999883236014e+05	5.248179518514979463e+03	3.118800436053830708e+03	3.250786903335048237e+02	3.393656097167985219e-02	1.273520996438744769e+05	6.769494374453958185e-01	9.340568428660931885e-03
4.000000000000000000e+00	2.481859035824780585e+05	3.007497813949400722e+01	3.957507662229417189e+00	1.002416123345650334e+01	3.361843035644064559e-02	4.082152298290301094e-06	7.227867110938949180e-01	4.673758253460991024e-06	1.603836428767490434e+05	5.248013704314049392e+03	3.118791584334825984e+03	3.250698780348895411e+02	3.393524948417020459e-02	1.273577825132278376e+05	6.769177910182765379e-01	9.347187271915627024e-03
4.500000000000000000e+00	2.476643379775257199e+05	3.008457179399419346e+01	3.947954180714216665e+00	1.004170476672510048e+01	3.361761882531420775e-02	4.094782750507341031e-06	7.227595187128035281e-01	4.673549689788477937e-06	1.603852861156149011e+05	5.247847874196708290e+03	3.118782732522265178e+03	3.250610671721381095e+02	3.393393953245859435e-02	1.273634660318822134e+05	6.768861455858319331e-01	9.340942278902359189e-03
5.000000000000000000e+00	2.471223713604609366e+05	3.009323405321494960e+01	3.938205873666886792e+00	1.007272914841886546e+01	3.361680690654613585e-02	4.107491233075687392e-06	7.227322904943318527e-01	4.673341120901884138e-06	1.603869297049594752e+05	5.247682028162010283e+03	3.118773880614738573e+03	3.250522577453960480e+02	3.393263111968242152e-02	1.273691501999358297e+05	6.768545011481592599e-01	9.346665659306864840e-03
5.500000000000000000e+00	2.465968720968368871e+05	3.010267443978204582e+01	3.928621996847407871e+00	1.009145550911302713e+01	3.361599460010057661e-02	4.120278471615693538e-06	7.227050263712698763e-01	4.673132546801488298e-06	1.603885736448212410e+05	5.247516166208984032e+03	3.118765028610833269e+03	3.250434497548094441e+02	3.393132424898964716e-02	1.273748350174870138e+05	6.768228577053545525e-01	9.341254186749619465e-03
6.000000000000000000e+00	2.460535222091557807e+05	3.011129885632507808e+01	3.918868016318943326e+00	1.012192790889591265e+01	3.361518190594136452e-02	4.133145200772654912e-06	7.226777262761874265e-01	4.672923967487575870e-06	1.603902179352387320e+05	5.247350288336631820e+03	3.118756176509133638e+03	3.250346432005255224e+02	3.393001892353887661e-02	1.273805204846340202e+05	6.767912152575141782e-01	9.346198767469719726e-03
