xcoord (m)	temperature (K)	B_field (T)
0.000000000000000000e+00	3.000115825123302216e+01	0.000000000000000000e+00
5.000000000000000000e-01	3.001001035016855312e+01	0.000000000000000000e+00
1.000000000000000000e+00	3.001918755398344985e+01	0.000000000000000000e+00
1.500000000000000000e+00	3.002904571378073939e+01	0.000000000000000000e+00
2.000000000000000000e+00	3.003798211149384656e+01	0.000000000000000000e+00
2.500000000000000000e+00	3.004772120323529094e+01	0.000000000000000000e+00
3.000000000000000000e+00	3.005661237614897630e+01	0.000000000000000000e+00
3.500000000000000000e+00	3.006620417477981277e+01	0.000000000000000000e+00
4.000000000000000000e+00	3.007505025446766567e+01	0.000000000000000000e+00
4.500000000000000000e+00	3.008450092425802680e+01	0.000000000000000000e+00
5.000000000000000000e+00	3.009329655200800246e+01	0.000000000000000000e+00
5.500000000000000000e+00	3.010261258895939207e+01	0.000000000000000000e+00
6.000000000000000000e+00	3.011135295686734636e+01	0.000000000000000000e+00
6.500000000000000000e+00	3.012054017925726157e+01	0.000000000000000000e+00
7.000000000000000000e+00	3.012922113961315418e+01	0.000000000000000000e+00
7.500000000000000000e+00	3.013828473625199322e+01	0.000000000000000000e+00
8.000000000000000000e+00	3.014690272895198930e+01	0.000000000000000000e+00
8.500000000000000000e+00	3.015584733240331161e+01	0.000000000000000000e+00
9.000000000000000000e+00	3.016439931518020856e+01	0.000000000000000000e+00
9.500000000000000000e+00	3.017322906757207335e+01	0.000000000000000000e+00
1.000000000000000000e+01	3.018171245405826042e+01	0.000000000000000000e+00
1.050000000000000000e+01	3.019043106535034937e+01	0.000000000000000000e+00
1.100000000000000000e+01	3.019884367027542638e+01	0.000000000000000000e+00
1.150000000000000000e+01	3.020745446979142201e+01	0.000000000000000000e+00
1.200000000000000000e+01	3.021579446052482965e+01	0.000000000000000000e+00
1.250000000000000000e+01	3.022430044250245373e+01	0.000000000000000000e+00
1.300000000000000000e+01	3.023256629623020686e+01	0.000000000000000000e+00
1.350000000000000000e+01	3.024097016006130190e+01	0.000000000000000000e+00
1.400000000000000000e+01	3.024916062596389210e+01	0.000000000000000000e+00
1.450000000000000000e+01	3.025746481172316393e+01	0.000000000000000000e+00
1.500000000000000000e+01	3.026557887758911747e+01	0.000000000000000000e+00
1.550000000000000000e+01	3.027378559738574637e+01	0.000000000000000000e+00
1.600000000000000000e+01	3.028182246015835233e+01	0.000000000000000000e+00
1.650000000000000000e+01	3.028993372578534959e+01	0.000000000000000000e+00
1.700000000000000000e+01	3.029789276559432665e+01	0.000000000000000000e+00
1.750000000000000000e+01	3.030591041289889276e+01	0.000000000000000000e+00
1.800000000000000000e+01	3.031379117017826985e+01	0.000000000000000000e+00
1.850000000000000000e+01	3.032171688052960690e+01	0.000000000000000000e+00
1.900000000000000000e+01	3.032951903586751641e+01	0.000000000000000000e+00
1.950000000000000000e+01	3.033735435505640510e+01	0.000000000000000000e+00
2.000000000000000000e+01	3.034507771146140342e+01	0.000000000000000000e+00
2.050000000000000000e+01	3.035282406632922658e+01	0.000000000000000000e+00
2.100000000000000000e+01	3.036046853363355780e+01	0.000000000000000000e+00
2.150000000000000000e+01	3.036812724669441010e+01	0.000000000000000000e+00
2.200000000000000000e+01	3.037569282784489033e+01	0.000000000000000000e+00
2.250000000000000000e+01	3.038326513013608121e+01	0.000000000000000000e+00
2.300000000000000000e+01	3.039075190915282931e+01	0.000000000000000000e+00
