xcoord (m)	temperature (K)
0.000000000000000000e+00	1.340934649204816651e+02
5.000000000000000000e-01	1.340088333116397337e+02
1.000000000000000000e+00	1.338441551769710145e+02
1.500000000000000000e+00	1.336795619127972259e+02
2.000000000000000000e+00	1.335146347329126115e+02
2.500000000000000000e+00	1.333500304637834972e+02
3.000000000000000000e+00	1.331850816444267309e+02
3.500000000000000000e+00	1.330204197781129380e+02
4.000000000000000000e+00	1.328554602689772253e+02
4.500000000000000000e+00	1.326907426698977304e+02
5.000000000000000000e+00	1.325257710417355668e+02
5.500000000000000000e+00	1.323610024047577554e+02
6.000000000000000000e+00	1.321960169203515818e+02
6.500000000000000000e+00	1.320312016331331506e+02
7.000000000000000000e+00	1.318662010126174096e+02
7.500000000000000000e+00	1.317013430165686145e+02
8.000000000000000000e+00	1.315363264156351875e+02
8.500000000000000000e+00	1.313714292659423108e+02
9.000000000000000000e+00	1.312063962107193902e+02
9.500000000000000000e+00	1.310414631390640636e+02
1.000000000000000000e+01	1.308764134683612497e+02
1.050000000000000000e+01	1.307114474363057468e+02
1.100000000000000000e+01	1.305463812530886969e+02
1.150000000000000000e+01	1.303813849968528018e+02
1.200000000000000000e+01	1.302163026276384699e+02
1.250000000000000000e+01	1.300512786956394962e+02
1.300000000000000000e+01	1.298861806565133747e+02
1.350000000000000000e+01	1.297211314408582155e+02
1.400000000000000000e+01	1.295560184090301448e+02
1.450000000000000000e+01	1.293909461719568696e+02
1.500000000000000000e+01	1.292258189619393534e+02
1.550000000000000000e+01	1.290607258580390635e+02
1.600000000000000000e+01	1.288955854016968203e+02
1.650000000000000000e+01	1.287304734966036222e+02
1.700000000000000000e+01	1.285653208264387217e+02
1.750000000000000000e+01	1.284001921125693286e+02
1.800000000000000000e+01	1.282350283477191510e+02
1.850000000000000000e+01	1.280698847575393131e+02
1.900000000000000000e+01	1.279047110920435983e+02
1.950000000000000000e+01	1.277395545092651048e+02
2.000000000000000000e+01	1.275743722022401414e+02
2.050000000000000000e+01	1.274092044712836724e+02
2.100000000000000000e+01	1.272440148386924790e+02
2.150000000000000000e+01	1.270788377726971419e+02
2.200000000000000000e+01	1.269136421804625172e+02
